treat,rep,begin.cells,rfu,length,cells.left,cells.eaten
control,a,10000,4902.37,1337.23,8028.15909,1971.84091
control,b,10000,4908.39,1465.15,8038.377227,1961.622773
control,c,10000,4425.93,1444.89,7219.466472,2780.533528
control,d,10000,5217.08,1567.39,8562.336853,1437.663147
control,e,10000,4465.45,1507.95,7286.546339,2713.453661
control,f,10000,4979.26,1302.73,8158.66949,1841.33051
control,g,10000,4257.71,1367.25,6933.935718,3066.064282
control,h,10000,3917.37,1510.14,6356.254487,3643.745513
control,i,10000,4771.34,1341.24,7805.753343,2194.246657
control,j,10000,3546.82,1477.1,5727.295857,4272.704143
control,k,10000,3246.21,1478.22,5217.050941,4782.949059
control,l,10000,4706.36,1548.88,7695.458561,2304.541439
control,m,10000,4993.05,1470.74,8182.076155,1817.923845
control,n,10000,2405.92,1470.35,3790.772039,6209.227961
control,o,10000,4187.54,1455.2,6814.831611,3185.168389
tetra,a,10000,3517.64,1449.92,5047.349095,4952.650905
tetra,b,10000,4688.81,1481.61,7236.318829,2763.681171
tetra,c,10000,4204.29,1378.17,6330.729021,3669.270979
tetra,d,10000,3938.33,1339.62,5833.637745,4166.362255
tetra,e,10000,4598.59,1438.6,7067.693566,2932.306434
tetra,f,10000,4594.26,1377.38,7059.6006,2940.3994
tetra,g,10000,3875.57,1514.3,5716.336464,4283.663536
tetra,h,10000,5335.85,1483.15,8445.665872,1554.334128
tetra,i,10000,5406.37,1272.62,8577.470944,1422.529056
tetra,j,10000,3775.62,1333.25,5529.525391,4470.474609
tetra,k,10000,4670.31,1333.19,7201.741492,2798.258508
tetra,l,10000,4432.81,1406.74,6757.843243,3242.156757
tetra,m,10000,3517.82,1424.99,5047.685524,4952.314476
tetra,n,10000,4679.4,1431.6,7218.731113,2781.268887
tetra,o,10000,4316.48,1394.28,6540.417208,3459.582792
sulfa,a,10000,2955.08,1527.42,5222.359329,4777.640671
sulfa,b,10000,3242.59,1445.11,5777.333052,4222.666948
sulfa,c,10000,3875.31,1461.71,6998.657437,3001.342563
sulfa,d,10000,2844.97,1504.42,5009.816611,4990.183389
sulfa,e,10000,2677.49,1441.65,4686.533946,5313.466054
sulfa,f,10000,2498.31,1465.03,4340.667048,5659.332952
sulfa,g,10000,2864.3,1467.69,5047.128851,4952.871149
sulfa,h,10000,3158.22,1430.84,5614.475645,4385.524355
sulfa,i,10000,2564.52,1460.88,4468.470638,5531.529362
sulfa,j,10000,3363.59,1416.08,6010.896477,3989.103523
sulfa,k,10000,3326.1,1535.71,5938.530421,4061.469579
sulfa,l,10000,3178.82,1439.09,5654.239336,4345.760664
sulfa,m,10000,2484.37,1483.55,4313.758997,5686.241003
sulfa,n,10000,2633.04,1461.56,4600.733167,5399.266833
sulfa,o,10000,3408.99,1392.98,6098.531019,3901.468981
